Maximale erfüllbare Wünsche: 
1.	541
2.	127
3.	58

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
73	14	2	|	73	402	1
74	213	1	|	74	116	1
75	165	1	|	75	686	1
76	223	3	|	76	526	3
77	610	3	|	77	279	2
78	276	-	|	78	891	1
79	991	1	|	79	462	2
80	29	1	|	80	798	1
81	635	1	|	81	480	1
82	124	1	|	82	831	1
83	592	3	|	83	956	1
84	438	1	|	84	121	1
85	39	1	|	85	415	3
86	285	-	|	86	644	1
87	530	1	|	87	677	3
88	426	2	|	88	175	1
89	296	-	|	89	490	3
90	956	1	|	90	501	1
91	299	-	|	91	932	1
92	119	2	|	92	836	1
93	685	1	|	93	475	1
94	488	1	|	94	613	3
95	329	3	|	95	560	1
96	155	1	|	96	126	1
97	454	1	|	97	260	1
98	300	-	|	98	770	2
99	152	2	|	99	156	3
100	303	-	|	100	129	1
101	691	1	|	101	321	1
102	834	1	|	102	233	1
103	478	1	|	103	857	1
104	562	3	|	104	313	1
105	471	1	|	105	206	1
106	135	1	|	106	188	1
107	989	1	|	107	13	1
108	149	2	|	108	769	1
109	59	1	|	109	589	1
110	307	-	|	110	341	1
111	412	1	|	111	620	3
112	406	2	|	112	177	3
113	375	1	|	113	647	3
114	559	3	|	114	2	-
115	308	-	|	115	35	1
116	74	1	|	116	435	1
117	312	-	|	117	910	1
118	313	-	|	118	3	-
119	935	2	|	119	92	2
120	316	-	|	120	801	1
121	84	1	|	121	817	1
122	431	1	|	122	325	1
123	965	1	|	123	151	1
124	150	1	|	124	82	1
125	357	2	|	125	631	1
126	96	1	|	126	715	1
127	306	1	|	127	682	1
128	141	1	|	128	316	1
129	100	1	|	129	168	1
130	901	1	|	130	711	1
131	44	1	|	131	921	1
132	538	1	|	132	899	1
133	491	1	|	133	694	2
134	332	1	|	134	655	1
135	317	1	|	135	106	1
136	446	1	|	136	429	1
137	327	-	|	137	246	1
138	69	1	|	138	202	1
139	294	1	|	139	790	1
140	331	-	|	140	783	1
141	787	1	|	141	128	1
142	335	-	|	142	6	-
143	23	1	|	143	33	1
144	338	-	|	144	893	1
145	343	-	|	145	579	1
146	4	2	|	146	894	2
147	639	1	|	147	9	-
148	824	1	|	148	506	1
149	61	1	|	149	108	2
150	388	1	|	150	124	1
151	123	1	|	151	14	-
152	340	1	|	152	99	2
153	734	2	|	153	781	1
154	328	1	|	154	487	1
155	249	1	|	155	96	1
156	99	3	|	156	731	1
157	301	1	|	157	607	1
158	962	1	|	158	922	1
159	863	1	|	159	671	1
160	458	1	|	160	733	1
161	230	2	|	161	962	1
162	525	1	|	162	420	3
163	940	1	|	163	15	-
164	350	2	|	164	273	3
165	978	2	|	165	75	1
166	565	2	|	166	450	2
167	173	2	|	167	469	3
168	129	1	|	168	23	-
169	435	1	|	169	734	1
170	344	-	|	170	24	-
171	792	1	|	171	495	1
172	764	2	|	172	25	-
173	729	1	|	173	167	2
174	345	-	|	174	684	1
175	88	1	|	175	577	1
176	347	-	|	176	189	1
177	112	3	|	177	902	1
178	541	2	|	178	923	1
179	359	-	|	179	964	1
180	323	1	|	180	31	-
181	46	2	|	181	889	1
182	49	1	|	182	32	-
183	358	1	|	183	265	1
184	881	1	|	184	947	1
185	539	1	|	185	580	1
186	544	1	|	186	564	1
187	500	1	|	187	963	2
188	106	1	|	188	991	1
189	176	1	|	189	919	1
190	325	1	|	190	492	1
191	398	1	|	191	698	1
192	669	1	|	192	37	-
193	365	-	|	193	488	2
194	847	3	|	194	364	1
195	916	1	|	195	489	1
196	353	1	|	196	566	1
197	423	1	|	197	639	1
198	369	-	|	198	45	1
199	918	1	|	199	499	1
200	615	1	|	200	707	1
201	655	1	|	201	338	1
202	138	1	|	202	593	1
203	319	1	|	203	288	1
204	383	1	|	204	818	1
205	477	1	|	205	337	1
206	105	1	|	206	710	1
207	923	1	|	207	383	2
208	386	-	|	208	605	1
209	228	1	|	209	973	1
210	825	1	|	210	708	2
211	269	1	|	211	39	-
212	258	1	|	212	281	1
213	742	2	|	213	74	1
214	453	1	|	214	290	1
215	392	-	|	215	562	1
216	645	1	|	216	10	1
217	396	-	|	217	47	2
218	401	-	|	218	651	2
219	673	1	|	219	934	2
220	402	-	|	220	380	1
221	404	-	|	221	22	1
222	309	1	|	222	40	-
223	596	1	|	223	76	3
224	405	-	|	224	57	1
225	884	1	|	225	42	-
226	731	1	|	226	356	1
227	408	-	|	227	46	-
228	409	-	|	228	209	1
229	287	1	|	229	799	2
230	576	3	|	230	161	2
231	410	-	|	231	512	1
232	743	1	|	232	838	1
233	102	1	|	233	606	1
234	67	2	|	234	633	1
235	62	1	|	235	48	-
236	413	-	|	236	49	-
237	417	-	|	237	535	1
238	952	1	|	238	888	1
239	391	1	|	239	427	1
240	461	1	|	240	52	-
241	418	-	|	241	884	1
242	651	1	|	242	999	1
243	594	1	|	243	548	1
244	428	-	|	244	615	1
245	429	-	|	245	54	-
246	137	1	|	246	60	-
247	352	1	|	247	335	1
248	682	1	|	248	64	-
249	432	-	|	249	155	1
250	271	1	|	250	441	1
251	439	3	|	251	68	-
252	589	1	|	252	628	1
253	433	-	|	253	1000	1
254	719	3	|	254	556	1
255	21	1	|	255	447	2
256	264	1	|	256	574	1
257	858	1	|	257	656	1
258	813	1	|	258	212	1
259	437	-	|	259	306	1
260	97	1	|	260	621	3
261	442	-	|	261	612	1
262	861	1	|	262	70	-
263	443	-	|	263	350	1
264	921	3	|	264	256	1
265	183	1	|	265	458	1
266	931	2	|	266	998	1
267	449	-	|	267	892	1
268	460	3	|	268	623	1
269	548	1	|	269	211	1
270	455	-	|	270	302	1
271	462	-	|	271	250	1
272	464	-	|	272	20	1
273	164	3	|	273	841	1
274	339	1	|	274	597	1
275	467	-	|	275	72	-
276	551	1	|	276	78	-
277	473	-	|	277	539	2
278	889	3	|	278	692	2
279	77	2	|	279	830	1
280	476	-	|	280	292	2
281	212	1	|	281	376	3
282	837	1	|	282	834	1
283	487	-	|	283	409	1
284	887	2	|	284	410	1
285	750	1	|	285	86	-
286	315	1	|	286	758	2
287	489	-	|	287	229	1
288	203	1	|	288	353	3
289	490	-	|	289	950	2
290	214	1	|	290	414	1
291	597	1	|	291	310	3
292	280	2	|	292	453	1
293	493	-	|	293	59	1
294	499	-	|	294	139	1
295	880	2	|	295	299	1
296	501	-	|	296	89	-
297	705	2	|	297	858	1
298	621	1	|	298	803	1
299	295	1	|	299	91	-
300	506	-	|	300	98	-
301	400	2	|	301	157	1
302	270	1	|	302	7	1
303	520	1	|	303	100	-
304	19	1	|	304	485	1
305	414	1	|	305	918	2
306	259	1	|	306	127	1
307	920	1	|	307	110	-
308	851	3	|	308	115	-
309	12	2	|	309	222	1
310	291	3	|	310	472	1
311	507	-	|	311	354	1
312	713	2	|	312	117	-
313	104	1	|	313	118	-
314	450	2	|	314	326	1
315	512	-	|	315	286	1
316	128	1	|	316	120	-
317	964	1	|	317	135	1
318	48	2	|	318	426	1
319	714	1	|	319	203	1
320	716	1	|	320	395	1
321	101	1	|	321	796	1
322	514	-	|	322	847	1
323	765	2	|	323	180	1
324	517	-	|	324	549	1
325	122	1	|	325	190	1
326	314	1	|	326	674	1
327	524	-	|	327	137	-
328	725	1	|	328	154	1
329	528	-	|	329	95	3
330	531	-	|	330	336	1
331	532	-	|	331	140	-
332	533	-	|	332	134	1
333	486	1	|	333	718	1
334	937	1	|	334	938	1
335	247	1	|	335	142	-
336	330	1	|	336	805	2
337	205	1	|	337	672	1
338	201	1	|	338	144	-
339	780	1	|	339	274	1
340	866	1	|	340	152	1
341	110	1	|	341	986	2
342	537	-	|	342	939	1
343	416	1	|	343	145	-
344	545	-	|	344	170	-
345	549	-	|	345	174	-
346	550	1	|	346	399	1
347	968	1	|	347	176	-
348	676	1	|	348	470	3
349	553	-	|	349	12	1
350	263	1	|	350	164	2
351	554	-	|	351	975	1
352	28	1	|	352	247	1
353	288	3	|	353	196	1
354	311	1	|	354	936	2
355	657	1	|	355	465	1
356	226	1	|	356	849	1
357	555	-	|	357	125	2
358	876	1	|	358	183	1
359	563	-	|	359	179	-
360	566	-	|	360	832	2
361	593	1	|	361	371	2
362	568	-	|	362	625	1
363	498	1	|	363	614	1
364	194	1	|	364	965	2
365	470	1	|	365	193	-
366	564	1	|	366	675	2
367	5	1	|	367	36	1
368	569	-	|	368	553	2
369	570	-	|	369	198	-
370	572	-	|	370	896	1
371	361	2	|	371	879	1
372	535	1	|	372	845	1
373	573	-	|	373	687	2
374	745	1	|	374	543	3
375	723	1	|	375	113	1
376	281	3	|	376	751	1
377	579	-	|	377	424	3
378	552	1	|	378	807	1
379	580	-	|	379	542	1
380	220	1	|	380	445	2
381	928	1	|	381	658	1
382	585	-	|	382	421	1
383	207	2	|	383	204	1
384	588	-	|	384	873	2
385	971	3	|	385	619	1
386	591	-	|	386	208	-
387	393	1	|	387	640	1
388	468	2	|	388	150	1
389	859	1	|	389	725	2
390	55	1	|	390	797	1
391	996	1	|	391	239	1
392	752	1	|	392	215	-
393	786	3	|	393	387	1
394	595	-	|	394	862	1
395	320	1	|	395	820	1
396	668	1	|	396	217	-
397	672	1	|	397	554	3
398	598	-	|	398	191	1
399	346	1	|	399	439	2
400	600	-	|	400	301	2
401	862	1	|	401	218	-
402	73	1	|	402	220	-
403	601	-	|	403	666	1
404	604	-	|	404	221	-
405	640	1	|	405	224	-
406	605	-	|	406	112	2
407	709	1	|	407	34	2
408	812	1	|	408	227	-
409	283	1	|	409	228	-
410	284	1	|	410	231	-
411	756	2	|	411	806	2
412	606	-	|	412	111	1
413	896	1	|	413	236	-
414	290	1	|	414	305	1
415	85	3	|	415	741	1
416	463	2	|	416	343	1
417	567	2	|	417	237	-
418	611	-	|	418	241	-
419	614	-	|	419	851	1
420	162	3	|	420	690	1
421	382	1	|	421	540	1
422	629	1	|	422	945	1
423	617	-	|	423	197	1
424	377	3	|	424	55	1
425	948	1	|	425	714	1
426	318	1	|	426	88	2
427	239	1	|	427	537	1
428	518	1	|	428	244	-
429	136	1	|	429	245	-
430	618	-	|	430	43	1
431	590	1	|	431	122	1
432	578	1	|	432	249	-
433	620	-	|	433	253	-
434	623	-	|	434	65	1
435	116	1	|	435	169	1
436	626	-	|	436	673	1
437	457	1	|	437	259	-
438	35	1	|	438	84	1
439	399	2	|	439	251	3
440	543	1	|	440	21	1
441	250	1	|	441	903	1
442	703	1	|	442	261	-
443	479	1	|	443	263	-
444	976	1	|	444	765	1
445	380	2	|	445	627	1
446	671	1	|	446	136	1
447	255	2	|	447	474	1
448	627	-	|	448	558	3
449	459	3	|	449	267	-
450	166	2	|	450	314	2
451	628	-	|	451	565	1
452	631	-	|	452	524	2
453	292	1	|	453	214	1
454	686	1	|	454	97	1
455	45	1	|	455	270	-
456	634	-	|	456	71	1
457	529	1	|	457	437	1
458	265	1	|	458	160	1
459	981	3	|	459	449	3
460	638	-	|	460	268	3
461	484	1	|	461	240	1
462	79	2	|	462	271	-
463	641	-	|	463	416	2
464	647	-	|	464	272	-
465	355	1	|	465	638	1
466	497	1	|	466	483	1
467	50	1	|	467	275	-
468	805	1	|	468	388	2
469	167	3	|	469	898	2
470	348	3	|	470	365	1
471	60	1	|	471	105	1
472	310	1	|	472	544	2
473	653	-	|	473	277	-
474	447	1	|	474	744	1
475	93	1	|	475	864	1
476	34	1	|	476	280	-
477	619	1	|	477	205	1
478	654	-	|	478	103	1
479	659	-	|	479	443	1
480	81	1	|	480	519	1
481	662	-	|	481	508	1
482	680	1	|	482	676	1
483	466	1	|	483	629	1
484	1	1	|	484	461	1
485	304	1	|	485	591	1
486	574	1	|	486	333	1
487	154	1	|	487	283	-
488	193	2	|	488	94	1
489	195	1	|	489	287	-
490	89	3	|	490	289	-
491	663	-	|	491	133	1
492	190	1	|	492	583	2
493	688	3	|	493	293	-
494	767	1	|	494	663	1
495	171	1	|	495	940	1
496	666	-	|	496	829	1
497	519	1	|	497	466	1
498	505	1	|	498	363	1
499	199	1	|	499	294	-
500	658	1	|	500	187	1
501	90	1	|	501	296	-
502	870	1	|	502	521	1
503	670	-	|	503	511	3
504	675	-	|	504	840	2
505	571	1	|	505	498	1
506	148	1	|	506	300	-
507	815	1	|	507	311	-
508	481	1	|	508	748	2
509	68	2	|	509	652	1
510	678	-	|	510	890	1
511	503	3	|	511	800	1
512	231	1	|	512	315	-
513	949	2	|	513	924	3
514	679	-	|	514	322	-
515	624	1	|	515	875	1
516	683	-	|	516	557	1
517	536	1	|	517	324	-
518	751	1	|	518	428	1
519	480	1	|	519	497	1
520	778	1	|	520	303	1
521	502	1	|	521	941	1
522	684	-	|	522	901	3
523	687	-	|	523	525	1
524	452	2	|	524	327	-
525	523	1	|	525	162	1
526	76	3	|	526	679	2
527	694	-	|	527	653	1
528	722	2	|	528	329	-
529	695	-	|	529	457	1
530	696	-	|	530	87	1
531	9	1	|	531	330	-
532	697	-	|	532	331	-
533	698	-	|	533	332	-
534	42	1	|	534	966	2
535	237	1	|	535	372	1
536	649	1	|	536	517	1
537	427	1	|	537	342	-
538	699	-	|	538	132	1
539	277	2	|	539	185	1
540	421	1	|	540	810	1
541	700	-	|	541	178	2
542	379	1	|	542	51	1
543	374	3	|	543	440	1
544	472	2	|	544	186	1
545	917	1	|	545	344	-
546	706	-	|	546	780	1
547	707	-	|	547	19	1
548	243	1	|	548	269	1
549	324	1	|	549	345	-
550	708	-	|	550	346	1
551	18	1	|	551	276	1
552	587	1	|	552	378	1
553	368	2	|	553	349	-
554	397	3	|	554	351	-
555	998	1	|	555	357	-
556	254	1	|	556	754	2
557	516	1	|	557	913	2
558	448	3	|	558	678	1
559	642	1	|	559	114	3
560	95	1	|	560	576	1
561	72	2	|	561	844	1
562	215	1	|	562	104	3
563	882	2	|	563	359	-
564	186	1	|	564	366	1
565	451	1	|	565	166	2
566	196	1	|	566	360	-
567	710	-	|	567	417	2
568	950	2	|	568	362	-
569	715	-	|	569	368	-
570	986	3	|	570	369	-
571	11	1	|	571	505	1
572	717	-	|	572	370	-
573	630	2	|	573	373	-
574	256	1	|	574	486	1
575	922	1	|	575	943	1
576	560	1	|	576	230	3
577	175	1	|	577	603	2
578	790	1	|	578	432	1
579	145	1	|	579	377	-
580	185	1	|	580	379	-
581	718	-	|	581	786	1
582	648	1	|	582	777	1
583	492	2	|	583	883	1
584	721	-	|	584	56	3
585	873	3	|	585	382	-
586	724	-	|	586	933	2
587	820	2	|	587	552	1
588	988	1	|	588	384	-
589	109	1	|	589	252	1
590	727	-	|	590	431	1
591	485	1	|	591	386	-
592	728	-	|	592	83	3
593	202	1	|	593	361	1
594	38	1	|	594	243	1
595	730	-	|	595	394	-
596	733	-	|	596	223	1
597	274	1	|	597	291	1
598	737	-	|	598	398	-
599	740	-	|	599	738	3
600	762	1	|	600	400	-
601	644	1	|	601	403	-
602	31	1	|	602	931	1
603	577	2	|	603	720	1
604	43	1	|	604	404	-
605	208	1	|	605	406	-
606	233	1	|	606	412	-
607	157	1	|	607	867	1
608	741	-	|	608	732	1
609	744	-	|	609	689	2
610	758	2	|	610	77	3
611	746	-	|	611	418	-
612	261	1	|	612	904	1
613	94	3	|	613	959	1
614	363	1	|	614	419	-
615	244	1	|	615	200	1
616	26	2	|	616	897	2
617	747	-	|	617	423	-
618	748	-	|	618	430	-
619	385	1	|	619	477	1
620	111	3	|	620	433	-
621	260	3	|	621	298	1
622	753	-	|	622	828	1
623	268	1	|	623	434	-
624	754	-	|	624	515	1
625	362	1	|	625	688	3
626	664	1	|	626	436	-
627	445	1	|	627	448	-
628	252	1	|	628	451	-
629	483	1	|	629	422	1
630	53	1	|	630	573	2
631	125	1	|	631	452	-
632	738	3	|	632	972	1
633	234	1	|	633	927	2
634	646	1	|	634	456	-
635	755	-	|	635	81	1
636	867	1	|	636	729	1
637	853	1	|	637	41	1
638	465	1	|	638	460	-
639	197	1	|	639	147	1
640	387	1	|	640	405	1
641	791	1	|	641	463	-
642	838	1	|	642	559	1
643	759	-	|	643	848	1
644	86	1	|	644	601	1
645	760	-	|	645	216	1
646	843	1	|	646	634	1
647	113	3	|	647	464	-
648	761	-	|	648	582	1
649	736	1	|	649	536	1
650	763	-	|	650	26	1
651	218	2	|	651	242	1
652	509	1	|	652	50	1
653	527	1	|	653	473	-
654	954	1	|	654	478	-
655	134	1	|	655	201	1
656	257	1	|	656	53	1
657	945	1	|	657	355	1
658	381	1	|	658	500	1
659	768	-	|	659	479	-
660	16	1	|	660	713	1
661	769	-	|	661	774	1
662	6	2	|	662	481	-
663	494	1	|	663	491	-
664	770	-	|	664	626	1
665	914	1	|	665	778	1
666	403	1	|	666	496	-
667	771	-	|	667	816	1
668	772	-	|	668	396	1
669	774	-	|	669	192	1
670	864	1	|	670	503	-
671	159	1	|	671	446	1
672	337	1	|	672	397	1
673	436	1	|	673	219	1
674	326	1	|	674	766	1
675	366	2	|	675	504	-
676	482	1	|	676	348	1
677	87	3	|	677	680	1
678	558	1	|	678	510	-
679	526	2	|	679	514	-
680	677	1	|	680	482	1
681	775	-	|	681	860	1
682	127	1	|	682	248	1
683	40	1	|	683	516	-
684	174	1	|	684	522	-
685	848	1	|	685	93	1
686	75	1	|	686	454	1
687	373	2	|	687	523	-
688	625	3	|	688	493	3
689	609	2	|	689	62	1
690	420	1	|	690	700	1
691	776	-	|	691	101	1
692	278	2	|	692	958	1
693	779	-	|	693	870	1
694	133	2	|	694	527	-
695	905	2	|	695	529	-
696	63	1	|	696	530	-
697	64	2	|	697	532	-
698	191	1	|	698	533	-
699	781	-	|	699	538	-
700	690	1	|	700	541	-
701	782	-	|	701	706	1
702	785	-	|	702	811	1
703	788	-	|	703	442	1
704	934	1	|	704	717	2
705	51	1	|	705	297	2
706	701	1	|	706	546	-
707	200	1	|	707	547	-
708	210	2	|	708	550	-
709	795	-	|	709	407	1
710	206	1	|	710	567	-
711	130	1	|	711	920	1
712	796	-	|	712	723	1
713	660	1	|	713	312	2
714	425	1	|	714	319	1
715	126	1	|	715	569	-
716	798	-	|	716	320	1
717	704	2	|	717	572	-
718	333	1	|	718	581	-
719	799	-	|	719	254	3
720	603	1	|	720	907	3
721	987	1	|	721	584	-
722	22	1	|	722	528	2
723	712	1	|	723	375	1
724	801	-	|	724	586	-
725	389	2	|	725	328	1
726	891	2	|	726	877	2
727	802	-	|	727	590	-
728	803	-	|	728	592	-
729	636	1	|	729	173	1
730	65	2	|	730	595	-
731	156	1	|	731	226	1
732	608	1	|	732	946	1
733	160	1	|	733	596	-
734	169	1	|	734	153	2
735	808	-	|	735	792	1
736	811	2	|	736	649	1
737	809	-	|	737	598	-
738	599	3	|	738	632	3
739	739	1	|	739	739	1
740	794	1	|	740	599	-
741	415	1	|	741	608	-
742	810	-	|	742	213	2
743	57	1	|	743	232	1
744	474	1	|	744	609	-
745	33	1	|	745	374	1
746	888	2	|	746	611	-
747	814	-	|	747	617	-
748	508	2	|	748	618	-
749	818	-	|	749	808	1
750	819	-	|	750	285	1
751	376	1	|	751	518	1
752	17	1	|	752	392	1
753	41	3	|	753	622	-
754	556	2	|	754	624	-
755	757	1	|	755	635	-
756	58	2	|	756	411	2
757	912	1	|	757	755	1
758	286	2	|	758	610	2
759	994	2	|	759	643	-
760	846	2	|	760	645	-
761	821	-	|	761	648	-
762	826	-	|	762	600	1
763	828	-	|	763	650	-
764	997	1	|	764	172	2
765	444	1	|	765	323	2
766	674	1	|	766	791	2
767	877	1	|	767	494	1
768	829	-	|	768	659	-
769	108	1	|	769	661	-
770	98	2	|	770	664	-
771	807	1	|	771	667	-
772	830	-	|	772	668	-
773	52	3	|	773	984	1
774	661	1	|	774	669	-
775	835	-	|	775	681	-
776	850	1	|	776	691	-
777	582	1	|	777	967	2
778	665	1	|	778	520	1
779	836	-	|	779	693	-
780	546	1	|	780	339	1
781	153	1	|	781	699	-
782	856	1	|	782	701	-
783	140	1	|	783	4	1
784	845	1	|	784	66	2
785	840	-	|	785	702	-
786	581	1	|	786	393	3
787	842	3	|	787	141	1
788	844	-	|	788	703	-
789	849	-	|	789	878	1
790	139	1	|	790	578	1
791	766	2	|	791	641	1
792	735	1	|	792	171	1
793	865	-	|	793	881	2
794	1000	1	|	794	740	1
795	868	-	|	795	709	-
796	321	1	|	796	712	-
797	390	1	|	797	912	2
798	80	1	|	798	716	-
799	229	2	|	799	719	-
800	511	1	|	800	988	2
801	120	1	|	801	724	-
802	910	1	|	802	727	-
803	298	1	|	803	728	-
804	833	1	|	804	996	1
805	336	2	|	805	468	1
806	411	2	|	806	69	1
807	378	1	|	807	771	1
808	749	1	|	808	735	-
809	869	-	|	809	737	-
810	540	1	|	810	742	-
811	702	1	|	811	736	2
812	871	-	|	812	408	1
813	872	-	|	813	258	1
814	932	2	|	814	747	-
815	885	1	|	815	507	1
816	667	1	|	816	27	2
817	121	1	|	817	929	2
818	204	1	|	818	749	-
819	874	-	|	819	750	-
820	395	1	|	820	587	2
821	875	-	|	821	761	-
822	930	1	|	822	67	3
823	995	2	|	823	928	1
824	878	-	|	824	148	1
825	36	3	|	825	210	1
826	879	-	|	826	762	-
827	909	1	|	827	11	2
828	622	1	|	828	763	-
829	496	1	|	829	768	-
830	279	1	|	830	772	-
831	82	1	|	831	953	1
832	360	2	|	832	835	1
833	883	-	|	833	804	1
834	282	1	|	834	102	1
835	832	1	|	835	775	-
836	92	1	|	836	779	-
837	960	2	|	837	282	1
838	232	1	|	838	642	1
839	886	-	|	839	38	1
840	504	2	|	840	785	-
841	273	1	|	841	29	2
842	890	-	|	842	787	3
843	54	1	|	843	646	1
844	561	1	|	844	788	-
845	372	1	|	845	784	1
846	892	-	|	846	760	2
847	322	1	|	847	194	3
848	643	1	|	848	685	1
849	356	1	|	849	789	-
850	893	-	|	850	776	1
851	419	1	|	851	308	3
852	894	-	|	852	987	1
853	895	-	|	853	637	1
854	15	1	|	854	8	2
855	902	3	|	855	17	1
856	897	-	|	856	782	1
857	103	1	|	857	926	1
858	297	1	|	858	257	1
859	898	-	|	859	389	1
860	681	1	|	860	880	2
861	20	2	|	861	262	1
862	394	1	|	862	401	1
863	900	-	|	863	159	1
864	475	1	|	864	670	1
865	903	-	|	865	793	-
866	10	1	|	866	340	1
867	607	1	|	867	636	1
868	13	1	|	868	795	-
869	904	-	|	869	809	-
870	693	1	|	870	502	1
871	906	-	|	871	812	-
872	908	-	|	872	813	-
873	384	2	|	873	585	3
874	911	-	|	874	819	-
875	515	1	|	875	821	-
876	983	1	|	876	358	1
877	726	2	|	877	767	1
878	789	1	|	878	824	-
879	371	1	|	879	826	-
880	860	2	|	880	295	2
881	793	2	|	881	184	1
882	913	-	|	882	563	2
883	583	1	|	883	833	-
884	241	1	|	884	225	1
885	66	1	|	885	815	1
886	915	-	|	886	839	-
887	919	-	|	887	284	2
888	238	1	|	888	746	2
889	181	1	|	889	278	3
890	510	1	|	890	842	-
891	78	1	|	891	726	2
892	267	1	|	892	846	-
893	144	1	|	893	850	-
894	146	2	|	894	852	-
895	925	-	|	895	853	-
896	370	1	|	896	413	1
897	616	2	|	897	856	-
898	469	2	|	898	859	-
899	132	1	|	899	908	2
900	926	-	|	900	863	-
901	522	3	|	901	130	1
902	177	1	|	902	855	3
903	441	1	|	903	865	-
904	612	1	|	904	869	-
905	927	-	|	905	695	2
906	929	-	|	906	871	-
907	720	3	|	907	909	1
908	899	2	|	908	872	-
909	907	1	|	909	827	1
910	117	1	|	910	802	1
911	990	3	|	911	874	-
912	797	2	|	912	757	1
913	557	2	|	913	882	-
914	936	-	|	914	665	1
915	938	-	|	915	886	-
916	939	-	|	916	195	1
917	941	-	|	917	545	1
918	305	2	|	918	199	1
919	189	1	|	919	887	-
920	711	1	|	920	307	1
921	131	1	|	921	264	3
922	158	1	|	922	575	1
923	178	1	|	923	207	1
924	513	3	|	924	16	1
925	944	-	|	925	895	-
926	857	1	|	926	900	-
927	633	2	|	927	905	-
928	823	1	|	928	381	1
929	817	2	|	929	906	-
930	946	-	|	930	822	1
931	602	1	|	931	266	2
932	91	1	|	932	814	2
933	586	2	|	933	30	2
934	219	2	|	934	704	1
935	947	-	|	935	119	2
936	354	2	|	936	914	-
937	951	-	|	937	334	1
938	334	1	|	938	915	-
939	342	1	|	939	916	-
940	495	1	|	940	163	1
941	521	1	|	941	917	-
942	955	-	|	942	974	1
943	575	1	|	943	989	1
944	957	-	|	944	925	-
945	422	1	|	945	657	1
946	732	1	|	946	930	-
947	184	1	|	947	935	-
948	958	-	|	948	425	1
949	37	1	|	949	513	2
950	289	2	|	950	568	2
951	959	-	|	951	937	-
952	961	-	|	952	238	1
953	831	1	|	953	969	1
954	963	-	|	954	654	1
955	966	-	|	955	942	-
956	83	1	|	956	90	1
957	967	-	|	957	944	-
958	692	1	|	958	948	-
959	613	1	|	959	951	-
960	30	1	|	960	837	2
961	969	-	|	961	952	-
962	161	1	|	962	158	1
963	187	2	|	963	954	-
964	179	1	|	964	317	1
965	364	2	|	965	123	1
966	534	2	|	966	955	-
967	777	2	|	967	957	-
968	47	1	|	968	347	1
969	953	1	|	969	961	-
970	970	-	|	970	970	-
971	972	-	|	971	385	3
972	632	1	|	972	971	-
973	209	1	|	973	61	2
974	942	1	|	974	976	-
975	351	1	|	975	978	-
976	974	-	|	976	444	1
977	25	1	|	977	979	-
978	975	-	|	978	165	2
979	977	-	|	979	981	-
980	8	1	|	980	982	-
981	979	-	|	981	459	3
982	980	-	|	982	983	-
983	982	-	|	983	876	1
984	773	1	|	984	985	-
985	984	-	|	985	990	-
986	341	2	|	986	570	3
987	852	1	|	987	721	1
988	800	2	|	988	588	1
